%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1588238476439487018,6382,1588238476438189029,/gps,0,1,35.6751046567,128.448029365,49.985,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238476566420982,6383,1588238476565992116,/gps,0,1,35.67510466,128.448029357,49.985,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238476694760441,6384,1588238476693722009,/gps,0,1,35.67510466,128.44802935,49.984,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238476822808061,6385,1588238476822475910,/gps,0,1,35.6751046517,128.448029357,49.985,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238476918452296,6386,1588238476917998075,/gps,0,1,35.6751046533,128.448029345,49.984,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238477042328690,6387,1588238477041868925,/gps,0,1,35.67510464,128.448029347,49.989,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238477176996299,6388,1588238477176225900,/gps,0,1,35.675104645,128.448029333,49.986,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238477300610202,6389,1588238477300002098,/gps,0,1,35.6751046467,128.448029342,49.986,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238477430652415,6390,1588238477429286003,/gps,0,1,35.67510464,128.448029333,49.989,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238477556236815,6391,1588238477555690050,/gps,0,1,35.6751046517,128.448029328,49.989,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238477684379800,6392,1588238477683931112,/gps,0,1,35.67510464,128.448029345,49.991,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238477816577793,6393,1588238477815459966,/gps,0,1,35.6751046433,128.448029335,49.988,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238477946501457,6394,1588238477945863962,/gps,0,1,35.67510465,128.448029347,49.986,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238478072327438,6395,1588238478070429086,/gps,0,1,35.675104645,128.448029343,49.988,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238478202369154,6396,1588238478200987100,/gps,0,1,35.675104635,128.448029342,49.991,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238478331192355,6397,1588238478327703952,/gps,0,1,35.67510464,128.44802934,49.991,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238478456553354,6398,1588238478456178903,/gps,0,1,35.6751046333,128.448029353,49.987,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238478555263472,6399,1588238478554697036,/gps,0,1,35.6751046417,128.448029353,49.985,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238478682130631,6400,1588238478680257081,/gps,0,1,35.6751046333,128.448029347,49.986,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238478803748058,6401,1588238478803534030,/gps,0,1,35.6751046383,128.44802937,49.986,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238478937235662,6402,1588238478936544895,/gps,0,1,35.6751046367,128.448029358,49.987,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238479060649395,6403,1588238479059336900,/gps,0,1,35.67510464,128.448029372,49.986,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
